86; Fornec86; 122; 23465; 1;03/03/2023; 01/03/2023; 31/12/2023; 1103,66; 1103,66; 20/03/2023
87; Fornec87; 122; 23466; 1;03/03/2023; 01/03/2023; 31/12/2023; 863,91; 863,91; 20/03/2023
88; Fornec88; 122; 23468; 1;06/03/2023; 01/03/2023; 31/12/2023; 1276,55; 1276,55; 20/03/2023
89; Fornec89; 122; 23472; 1;05/03/2023; 01/03/2023; 31/12/2023; 778,29; 778,29; 20/03/2023
90; Fornec90; 122; 23473; 1;06/03/2023; 01/03/2023; 31/12/2023; 1761,25; 1761,25; 20/03/2023
91; Fornec91; 122; 23474; 1;05/03/2023; 01/03/2023; 31/12/2023; 1058,26; 1058,26; 20/03/2023
92; Fornec92; 122; 23481; 1;05/03/2023; 02/03/2023; 31/12/2023; 673,11; 673,11; 20/03/2023
93; Fornec93; 122; 23484; 1;05/03/2023; 02/03/2023; 31/12/2023; 681,75; 681,75; 20/03/2023
94; Fornec94; 122; 23491; 1;05/03/2023; 02/03/2023; 31/12/2023; 1761,25; 1761,25; 20/03/2023
95; Fornec95; 122; 23494; 1;06/03/2023; 02/03/2023; 31/12/2023; 1761,25; 1761,25; 20/03/2023
96; Fornec96; 122; 23504; 1;05/03/2023; 03/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
97; Fornec97; 122; 23507; 1;05/03/2023; 03/03/2023; 31/12/2023; 1761,25; 1761,25; 20/03/2023
98; Fornec98; 122; 23508; 1;05/03/2023; 03/03/2023; 31/12/2023; 1761,25; 1761,25; 20/03/2023
99; Fornec99; 122; 23513; 1;05/03/2023; 03/03/2023; 31/12/2023; 3170,25; 3170,25; 20/03/2023
100; Fornec100; 122; 23517; 1;05/03/2023; 03/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
101; Fornec101; 122; 23530; 1;13/03/2023; 03/03/2023; 31/12/2023; 8629,2; 8629,2; 20/03/2023
102; Fornec102; 122; 23531; 1;13/03/2023; 03/03/2023; 31/12/2023; 8677,8; 8677,8; 20/03/2023
103; Fornec103; 122; 23533; 1;05/03/2023; 03/03/2023; 31/12/2023; 2260,04; 2260,04; 20/03/2023
104; Fornec104; 122; 23534; 1;05/03/2023; 03/03/2023; 31/12/2023; 1944,42; 1944,42; 20/03/2023
105; Fornec105; 122; 23535; 1;05/03/2023; 03/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
106; Fornec106; 122; 23536; 1;05/03/2023; 03/03/2023; 31/12/2023; 1301,92; 1301,92; 20/03/2023
107; Fornec107; 122; 23537; 1;06/03/2023; 03/03/2023; 15/03/2023; 1761,25; 1761,25; 20/03/2023
108; Fornec108; 122; 23538; 1;05/03/2023; 03/03/2023; 31/12/2023; 1200,47; 1200,47; 20/03/2023
109; Fornec109; 122; 23546; 1;05/03/2023; 04/03/2023; 31/12/2023; 724,75; 724,75; 20/03/2023
110; Fornec110; 122; 23557; 1;05/03/2023; 04/03/2023; 31/12/2023; 3170,25; 3170,25; 20/03/2023
111; Fornec111; 122; 23578; 1;09/03/2023; 04/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
112; Fornec112; 122; 23580; 1;09/03/2023; 04/03/2023; 31/12/2023; 1763,36; 1763,36; 20/03/2023
113; Fornec113; 122; 23581; 1;09/03/2023; 04/03/2023; 31/12/2023; 1291,35; 1291,35; 20/03/2023
114; Fornec114; 122; 23582; 1;09/03/2023; 04/03/2023; 31/12/2023; 1962,74; 1962,74; 20/03/2023
115; Fornec115; 122; 23583; 1;09/03/2023; 04/03/2023; 31/12/2023; 1081,41; 1081,41; 20/03/2023
116; Fornec116; 122; 23584; 1;09/03/2023; 04/03/2023; 31/12/2023; 2253,7; 2253,7; 20/03/2023
117; Fornec117; 122; 23591; 1;09/03/2023; 04/03/2023; 31/12/2023; 1761,25; 1761,25; 20/03/2023
118; Fornec118; 122; 23608; 1;09/03/2023; 05/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
119; Fornec119; 122; 23609; 1;09/03/2023; 05/03/2023; 31/12/2023; 2045,25; 2045,25; 20/03/2023
120; Fornec120; 122; 23611; 1;09/03/2023; 05/03/2023; 31/12/2023; 3170,25; 3170,25; 20/03/2023
121; Fornec121; 122; 23612; 1;09/03/2023; 05/03/2023; 31/12/2023; 3170,25; 3170,25; 20/03/2023
122; Fornec122; 122; 23614; 1;09/03/2023; 05/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
123; Fornec123; 122; 23626; 1;09/03/2023; 05/03/2023; 31/12/2023; 576,28; 576,28; 20/03/2023
124; Fornec124; 122; 23628; 1;09/03/2023; 05/03/2023; 31/12/2023; 543,17; 543,17; 20/03/2023
125; Fornec125; 122; 23629; 1;09/03/2023; 05/03/2023; 31/12/2023; 310,68; 310,68; 20/03/2023
126; Fornec126; 122; 23648; 1;09/03/2023; 06/03/2023; 31/12/2023; 2045,25; 2045,25; 20/03/2023
127; Fornec127; 122; 23649; 1;09/03/2023; 06/03/2023; 31/12/2023; 1908,9; 1908,9; 20/03/2023
128; Fornec128; 122; 23656; 1;13/03/2023; 06/03/2023; 31/12/2023; 9171,3; 9171,3; 20/03/2023
129; Fornec129; 122; 23659; 1;09/03/2023; 06/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
130; Fornec130; 122; 23677; 1;09/03/2023; 06/03/2023; 31/12/2023; 2045,25; 2045,25; 20/03/2023
131; Fornec131; 122; 23683; 1;09/03/2023; 06/03/2023; 31/12/2023; 2045,25; 2045,25; 20/03/2023
132; Fornec132; 122; 23713; 1;09/03/2023; 06/03/2023; 31/12/2023; 639,69; 639,69; 20/03/2023
133; Fornec133; 122; 23714; 1;09/03/2023; 06/03/2023; 31/12/2023; 877,1; 877,1; 20/03/2023
134; Fornec134; 122; 23715; 1;09/03/2023; 06/03/2023; 31/12/2023; 927,83; 927,83; 20/03/2023
135; Fornec135; 122; 23716; 1;09/03/2023; 06/03/2023; 31/12/2023; 580,51; 580,51; 20/03/2023
136; Fornec136; 122; 23719; 1;09/03/2023; 07/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
137; Fornec137; 122; 23720; 1;09/03/2023; 07/03/2023; 31/12/2023; 416,36; 416,36; 20/03/2023
138; Fornec138; 122; 23726; 1;09/03/2023; 07/03/2023; 31/12/2023; 227,98; 227,98; 20/03/2023
139; Fornec139; 122; 23727; 1;09/03/2023; 07/03/2023; 31/12/2023; 537,67; 537,67; 20/03/2023
140; Fornec140; 122; 23728; 1;09/03/2023; 07/03/2023; 31/12/2023; 521,04; 521,04; 20/03/2023
141; Fornec141; 122; 23729; 1;09/03/2023; 07/03/2023; 31/12/2023; 345,15; 345,15; 20/03/2023
142; Fornec142; 122; 23730; 1;09/03/2023; 07/03/2023; 31/12/2023; 411,87; 411,87; 20/03/2023
143; Fornec143; 122; 23732; 1;09/03/2023; 07/03/2023; 31/12/2023; 469,86; 469,86; 20/03/2023
144; Fornec144; 122; 23733; 1;09/03/2023; 07/03/2023; 31/12/2023; 565,67; 565,67; 20/03/2023
145; Fornec145; 122; 23734; 1;09/03/2023; 07/03/2023; 31/12/2023; 377,37; 377,37; 20/03/2023
146; Fornec146; 122; 23736; 1;09/03/2023; 07/03/2023; 31/12/2023; 346,6; 346,6; 20/03/2023
147; Fornec147; 122; 23744; 1;09/03/2023; 07/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
148; Fornec148; 122; 23745; 1;09/03/2023; 07/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
149; Fornec149; 122; 23746; 1;09/03/2023; 07/03/2023; 31/12/2023; 1908,9; 1908,9; 20/03/2023
150; Fornec150; 122; 23747; 1;09/03/2023; 07/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
151; Fornec151; 122; 23748; 1;13/03/2023; 07/03/2023; 31/12/2023; 3170,25; 3170,25; 20/03/2023
152; Fornec152; 122; 23749; 1;09/03/2023; 07/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
153; Fornec153; 122; 23754; 1;09/03/2023; 07/03/2023; 31/12/2023; 1454,4; 1454,4; 20/03/2023
154; Fornec154; 122; 23766; 1;11/03/2023; 08/03/2023; 31/12/2023; 2045,25; 2045,25; 20/03/2023
155; Fornec155; 122; 23786; 1;13/03/2023; 08/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
156; Fornec156; 122; 23792; 1;11/03/2023; 08/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
157; Fornec157; 122; 23793; 1;11/03/2023; 08/03/2023; 31/12/2023; 2045,25; 2045,25; 20/03/2023
158; Fornec158; 122; 23798; 1;11/03/2023; 08/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
159; Fornec159; 122; 23833; 1;11/03/2023; 09/03/2023; 31/12/2023; 2254,4; 2254,4; 20/03/2023
160; Fornec160; 122; 23837; 1;11/03/2023; 09/03/2023; 31/12/2023; 735,5; 735,5; 20/03/2023
161; Fornec161; 122; 23839; 1;11/03/2023; 09/03/2023; 31/12/2023; 582,62; 582,62; 20/03/2023
